Number	Label	"Betweenness centrality in N7 (638)"
360	359	9.6742920E-4
361	360	7.9476173E-4
362	361	0.001728589
363	362	0.002612177
364	363	4.9785570E-4
365	364	0.001927703
366	365	0.002287814
367	366	2.6699760E-4
368	367	5.5041152E-4
369	368	0.001789335
370	369	0.002364607
371	370	3.6645811E-4
372	371	0.002019752
373	372	1.5635307E-4
374	373	0.001723955
375	374	9.5951594E-4
376	375	0.001800819
377	376	1.5325217E-4
378	377	9.4878535E-4
379	378	7.6813016E-4
380	379	0.001702355
381	380	2.6858064E-4
382	381	5.6640342E-4
383	382	4.9045199E-4
384	383	0.001527520
385	384	4.2183613E-5
386	385	0.001329502
387	386	0.001093975
388	387	0.001354751
389	388	5.6310088E-4
390	389	5.6895869E-4
391	390	1.5963569E-4
392	391	0.002119039
393	392	4.8744000E-4
394	393	8.8242063E-4
395	394	9.8206966E-4
396	395	4.7015416E-4
397	396	0.001881928
398	397	0.003604123
399	398	0.002197857
400	399	0.003150277
401	400	0.004672260
402	401	0.002226276
403	402	6.8505348E-4
404	403	0.002348196
405	404	0.001410004
406	405	0.002498352
407	406	0.001090059
408	407	0.002667451
409	408	8.5286975E-4
410	409	2.3868012E-4
411	410	0.001950422
412	411	0.001299188
413	412	0.002570235
414	413	7.9810796E-7
415	414	0.004023819
416	415	9.1278204E-4
417	416	0.007342110
418	417	9.5619185E-4
419	418	0.006863334
420	419	0.001044271
421	420	0.001907770
422	421	0.006085074
423	422	1.2710320E-4
424	423	0.001028767
425	424	0.001024018
426	425	0.001748744
427	426	0.001389533
428	427	0.002895689
429	428	0.004439131
430	429	9.6004311E-4
431	430	6.7310927E-4
432	431	0.007233386
433	432	0.001394848
434	433	7.4104294E-4
435	434	0.003095411
436	435	0.001049835
437	436	0.002139381
438	437	8.8164512E-4
439	438	0.001272007
440	439	9.3941047E-4
441	440	5.2626128E-5
442	441	0.001594261
443	442	8.5865073E-4
444	443	0.001511597
445	444	0.001245092
446	445	0.001603401
447	446	0.001949027
448	447	0.002168190
449	448	0.002369125
450	449	0.001593321
451	450	9.4361879E-4
452	451	0.006198411
453	452	0.004542331
454	453	0.001310848
455	454	0.002227933
456	455	8.5209132E-4
457	456	8.7873911E-4
458	457	0.001052929
459	458	0.001504343
460	459	0.002675557
461	460	3.4780743E-4
462	461	0.001745840
463	462	0.001881276
464	463	0.001630522
465	464	0.001268479
466	465	0.003043378
467	466	0.001572386
468	467	0.001018691
469	468	6.6855241E-4
470	469	3.1269247E-4
471	470	0.001199783
472	471	7.8476554E-4
473	472	0.001988530
474	473	0.001658641
475	474	9.2616458E-4
476	475	8.5509725E-4
477	476	0.001900818
478	477	0.003237037
479	478	6.2167094E-4
480	479	0.002025012
481	480	0.001166787
482	481	0.003310451
483	482	0.007779681
484	483	2.3183303E-4
485	484	2.2038188E-4
486	485	0.006372388
487	486	6.1646343E-4
488	487	0.001054571
489	488	0.004662355
490	489	3.8556389E-4
491	490	0.001476278
492	491	0.004706735
493	492	0.001348939
494	493	9.7159229E-4
495	494	0.005123977
496	495	0.006018295
497	496	0.005215013
498	497	0.002200620
499	498	0.001023195
500	499	0.001372653
501	500	0.006346657
502	501	0.004728853
503	502	0.001317740
504	503	0.002358810
505	504	0.002540091
506	505	0.005822746
507	506	0.001402997
508	507	0.002068708
509	508	0.004291879
510	509	0.001509939
511	510	0.006516043
512	511	0.001394921
513	512	4.8215915E-4
514	513	0.002744866
515	514	0.001809670
516	515	0.002207369
517	516	0.001902931
518	517	0.001529234
519	518	3.7692268E-4
520	519	0.001239400
521	520	3.5942954E-5
522	521	0.003245441
523	522	2.8409857E-4
524	523	0.002495698
525	524	2.4499345E-4
526	525	2.2306062E-4
527	526	7.9883180E-4
528	527	0.002008476
529	528	0.001879950
530	529	0.001057111
531	530	0.001179717
532	531	5.3952075E-4
533	532	0.001969987
534	533	6.8816342E-4
535	534	5.9045072E-4
536	535	5.6457174E-5
537	536	0.001191428
538	537	6.1412347E-4
539	538	9.2302685E-4
540	539	0.001993708
541	540	2.3824862E-4
542	541	2.2473908E-4
543	542	1.8218891E-4
544	543	0.003656010
545	544	0.005827897
546	545	0.002019230
547	546	0.008545753
548	547	0.001501110
549	548	9.2269596E-4
550	549	0.004744922
551	550	0.001902501
552	551	8.4809954E-4
553	552	0.003683407
554	553	0.001893389
555	554	0.002453071
556	555	0.003523470
557	556	0.001196555
558	557	0.003387029
559	558	0.001294152
560	559	0.004787706
561	560	0.003560226
562	561	0.002954337
563	562	0.001173499
564	563	0.002219130
565	564	0.003433582
566	565	0.002814376
567	566	0.005021995
568	567	6.3082166E-4
569	568	0.001195229
570	569	0.003190378
571	570	0.001484958
572	571	9.0308870E-4
573	572	0.001323570
574	573	7.7913770E-4
575	574	8.7225089E-4
576	575	9.4474154E-4
577	576	0.001766792
578	577	0.002279212
579	578	0.002347062
580	579	0.003091426
581	580	0.004489372
582	581	0.001419323
583	582	7.8880458E-4
584	583	6.2280328E-4
585	584	9.5758635E-4
586	585	0.001252615
587	586	4.5977386E-4
588	587	1.9910493E-4
589	588	0.001302914
590	589	6.4194446E-4
591	590	0.004042208
592	591	0.001835745
593	592	1.8973819E-4
594	593	6.4087045E-4
595	594	0.002865974
596	595	0.001057258
597	596	0.002042475
598	597	8.0060911E-4
599	598	0.001539918
600	599	9.6398466E-4
601	600	0.002355310
602	601	6.3785425E-4
603	602	0.002537211
604	603	0.001098424
605	604	0.002280796
606	605	0.003639281
607	606	7.2497397E-4
608	607	0.001036276
609	608	6.8065374E-4
610	609	0.001979463
611	610	0.001669145
612	611	0.002309016
613	612	0.001350690
614	613	6.6695451E-4
615	614	0.003340804
616	615	8.2429372E-4
617	616	8.7399148E-4
618	617	5.2223321E-4
619	618	0.001409701
620	619	0.002391415
621	620	0.002803969
622	621	0.009157737
623	622	0.004311935
624	623	0.005167074
625	624	7.6176322E-4
626	625	0.001187639
627	626	0.001373104
628	627	0.001708862
629	628	0.002817387
630	629	0.007857758
631	630	0.004814537
632	631	0.003029991
633	632	0.001260294
634	633	0.001849940
635	634	0.001579443
636	635	7.4967953E-4
637	636	4.1366009E-4
638	637	0.001462556
